OPEX_CO2_kg,CAPEX_CO2_kg,Total_Cost_EUR,Wind_kW,Solar_kWp,Battery_kWh
3.482590353386095376e+05,6.778184900484794343e+04,1.987902195988764055e+06,3.879932020094335257e+03,8.823522857626046516e+02,5.023920462052903986e+02
3.536032683214620920e+05,9.034294278743394534e+04,1.820741738208555384e+06,1.803052347125579672e+03,2.280864727236184535e+03,5.987675942856974416e+02
3.562007229168950580e+05,6.411469144741503260e+04,2.118033508352221455e+06,4.697922598329279026e+03,3.994831345367615540e+02,1.030194285603878370e+03
3.622175150708409492e+05,9.728576882015375304e+04,1.818676301598618971e+06,1.365827156953668919e+03,2.672445862355833924e+03,5.045303825609185537e+02
3.692156696194202523e+05,5.322870300065485935e+04,2.092975072057163808e+06,3.879108491016978860e+03,3.978052502979675751e+02,5.006921163092071083e+02
3.822020681000525365e+05,4.528411778967463761e+04,2.141936158014864661e+06,3.704496707580127350e+03,1.863675552606751182e+02,5.296248112106233066e+02
3.838481377459696378e+05,5.681975153284366388e+04,1.946021553739165654e+06,1.765940269744025500e+03,1.180872115991713144e+03,7.468370711304035012e+02
3.971394114868925535e+05,6.144681756405188207e+04,1.927015155065857572e+06,1.076383689539179613e+03,1.544800449480913130e+03,8.677934368465386115e+02
4.028171360436116229e+05,4.264828433485572896e+04,2.067219564796266612e+06,1.974256389862875039e+03,6.348131929114333616e+02,7.722649297767964072e+02
4.032897829694208340e+05,3.365714634378988558e+04,2.188240314567181747e+06,3.114715367517826053e+03,2.530140229152386677e-01,5.004804495848331953e+02
4.095936642184455995e+05,4.880726466871357115e+04,1.990630633000103757e+06,1.152838325310631262e+03,1.150851977225509927e+03,5.506644197683926905e+02
4.143594325942838332e+05,3.805807409419662872e+04,2.079702032958209747e+06,1.650663627129367796e+03,6.348131929114333616e+02,5.014084071119908117e+02
4.212445777347325347e+05,3.219141904916760541e+04,2.133352253873350564e+06,1.803052347125579672e+03,3.886116463141922281e+02,5.005092376972086754e+02
4.268388617069640895e+05,3.129905205771771944e+04,2.147310830737215001e+06,1.663588707883519646e+03,3.828224465618807244e+02,6.356983164052202255e+02
4.298982903602613951e+05,2.879835979689187297e+04,2.176437112909451127e+06,1.758278692168697944e+03,2.541571486140675233e+02,7.181716833565734532e+02
4.349185179910364677e+05,2.932569316560175139e+04,2.162769426037170924e+06,1.466252818671922796e+03,3.828224465618807244e+02,6.356983164052202255e+02
4.414059878974737949e+05,2.057717868592837840e+04,2.235179726447307039e+06,1.803052347125579672e+03,1.548833495414254413e+00,5.000380419620315138e+02
4.418508153071098495e+05,2.215434782264940077e+04,2.220678507993532810e+06,1.663588707883519646e+03,9.609611788013563682e+01,5.271154414820276770e+02
4.520890385524773155e+05,2.426122568428026352e+04,2.202196300889290404e+06,1.144370043519455294e+03,3.437823270686764090e+02,5.008110874050836401e+02
4.572129974123493303e+05,1.837593852836077349e+04,2.252742600367031060e+06,1.321270848042494890e+03,8.871480695039564068e+01,5.003571678847910107e+02
4.590699896410930087e+05,1.636816623908807560e+04,2.270480976507517509e+06,1.383338380788847644e+03,1.006011537035073955e+00,5.009204170177094966e+02
4.605809711406279821e+05,1.793723705877016619e+04,2.258104722807413898e+06,1.237982500405027622e+03,1.017377819096999332e+02,5.010557194857784111e+02
4.673022999190665432e+05,1.520110778134557222e+04,2.286669339279799256e+06,1.195945164010540793e+03,1.834367043601215030e+01,5.382692056319599487e+02
4.681969803579927539e+05,1.454053266710262687e+04,2.290363092511654366e+06,1.195945164010540793e+03,2.129184288262376157e+00,5.034410996698694589e+02
4.750044872674338985e+05,1.338139155254735306e+04,2.305579160055879038e+06,1.066397908369058086e+03,5.688346625799118428e+00,5.093524140165594076e+02
4.952667617085739621e+05,1.007881976697496066e+04,2.355246159086457919e+06,7.334358246679789772e+02,4.965105351765970454e+00,5.191016719484381383e+02
4.962611972939251573e+05,1.061626759023305203e+04,2.352993295188201591e+06,6.869804541465907732e+02,3.802759912898345362e+01,5.211270149795280986e+02
5.022745447721367818e+05,8.825753626616791735e+03,2.372939367086401675e+06,6.231019807134034636e+02,4.200259357234648050e-01,5.164266082822107364e+02
5.113309395105472649e+05,7.534475796900501336e+03,2.393835873371794354e+06,4.672199414566581481e+02,9.095774934602612660e+00,5.178806268591682738e+02
5.222203473344564554e+05,5.497724292052211240e+03,2.421169382487002760e+06,2.967104773778771118e+02,1.006011537035073955e+00,5.000878344324776208e+02
5.313507146716595162e+05,4.263829954526230722e+03,2.442697808290342335e+06,1.401553572192311208e+02,9.095774934602612660e+00,5.178806268591682738e+02
5.383748365538173821e+05,2.873722062623736292e+03,2.460537091755727772e+06,3.229738611592523512e+01,1.548833495414254413e+00,5.008566393204112615e+02
